iter	Passed	Remaining
1414	140453	58067
1415	140546	57965
1416	140638	57863
1417	140726	57759
1418	140814	57655
1419	140906	57553
1420	141005	57454
1421	141105	57355
1422	141234	57268
1423	141409	57199
1424	141543	57113
1425	141671	57026
1426	141798	56938
1427	141903	56840
1428	142005	56742
1429	142098	56640
1430	142215	56548
1431	142311	56447
1432	142402	56344
1433	142493	56242
1434	142586	56140
1435	142673	56036
1436	142754	55929
1437	142840	55825
1438	142933	55723
1439	143027	55621
1440	143118	55519
1441	143206	55415
1442	143291	55310
1443	143380	55207
1444	143459	55100
1445	143552	54998
1446	143640	54895
1447	143729	54791
1448	143883	54713
1449	144060	54643
1450	144162	54545
1451	144249	54441
1452	144341	54339
1453	144434	54237
1454	144524	54134
1455	144623	54035
1456	144728	53937
1457	144834	53841
1458	144937	53743
1459	145058	53651
1460	145156	53551
1461	145274	53459
1462	145377	53361
1463	145462	53256
1464	145566	53159
1465	145654	53055
1466	145742	52951
1467	145827	52847
1468	145910	52742
1469	145997	52638
1470	146086	52535
1471	146168	52430
1472	146262	52328
1473	146457	52263
1474	146543	52159
1475	146633	52056
1476	146722	51953
1477	146812	51851
1478	146903	51749
1479	147108	51686
1480	147197	51583
1481	147285	51480
1482	147371	51376
1483	147456	51272
1484	147546	51169
1485	147633	51065
1486	147716	50960
1487	147805	50857
1488	147893	50754
1489	147980	50650
1490	148072	50549
1491	148162	50446
1492	148244	50341
1493	148337	50240
1494	148449	50145
1495	148547	50045
1496	148644	49945
1497	148771	49855
1498	148903	49766
1499	148993	49664
1500	149088	49563
1501	149178	49461
1502	149284	49364
1503	149397	49269
1504	149494	49169
1505	149594	49070
1506	149683	48967
1507	149777	48866
1508	149890	48771
1509	149987	48671
1510	150119	48582
1511	150221	48484
1512	150316	48383
1513	150413	48283
1514	150508	48182
1515	150658	48099
1516	150746	47996
1517	150836	47894
1518	150925	47791
1519	151016	47689
1520	151178	47609
1521	151267	47507
1522	151354	47403
1523	151442	47300
1524	151558	47206
1525	151666	47110
1526	151756	47007
1527	151879	46915
1528	151988	46819
1529	152100	46723
1530	152178	46617
1531	152266	46514
1532	152352	46411
1533	152440	46308
1534	152535	46207
1535	152635	46108
1536	152728	46007
1537	152825	45907
1538	152918	45806
1539	153019	45707
1540	153123	45609
1541	153232	45512
1542	153358	45421
1543	153597	45363
1544	153688	45261
1545	153782	45159
1546	153843	45049
1547	153927	44945
1548	154011	44841
1549	154165	44757
1550	154251	44654
1551	154354	44555
1552	154459	44458
1553	154561	44359
1554	154662	44260
1555	154746	44156
1556	154828	44052
1557	154911	43947
1558	155000	43845
1559	155083	43741
1560	155167	43637
1561	155255	43535
1562	155338	43431
1563	155425	43328
1564	155515	43226
1565	155599	43122
1566	155690	43021
1567	155816	42929
1568	155988	42849
1569	156076	42747
1570	156162	42644
1571	156250	42541
1572	156342	42440
1573	156429	42337
1574	156515	42234
1575	156588	42127
1576	156675	42025
1577	156832	41941
1578	156924	41839
1579	156997	41733
1580	157071	41627
1581	157147	41521
1582	157230	41418
1583	157317	41315
1584	157403	41212
1585	157489	41110
1586	157577	41007
1587	157723	40920
1588	157814	40819
1589	157910	40718
1590	158032	40625
1591	158158	40533
1592	158310	40447
1593	158531	40378
1594	158625	40277
1595	158723	40178
1596	158813	40076
1597	158913	39976
1598	159022	39880
1599	159117	39779
1600	159201	39676
1601	159292	39574
1602	159393	39475
1603	159494	39376
1604	159591	39276
1605	159688	39176
1606	159793	39078
1607	159896	38979
1608	160009	38883
1609	160109	38784
1610	160209	38684
1611	160372	38600
1612	160459	38498
1613	160575	38402
1614	160780	38328
1615	160958	38247
1616	161066	38149
1617	161167	38050
1618	161297	37958
1619	161397	37858
1620	161489	37757
1621	161584	37656
1622	161681	37556
1623	161773	37455
1624	161861	37352
1625	161950	37250
1626	162053	37151
1627	162154	37052
1628	162250	36952
1629	162351	36852
1630	162453	36753
1631	162557	36655
1632	162660	36556
1633	162768	36458
1634	162875	36360
1635	162974	36260
1636	163066	36159
1637	163202	36067
1638	163367	35982
1639	163483	35886
1640	163584	35787
1641	163690	35688
1642	163821	35595
1643	163936	35499
1644	164093	35412
1645	164169	35307
1646	164280	35209
1647	164375	35109
1648	164461	35006
1649	164549	34904
1650	164637	34802
1651	164736	34702
1652	164860	34607
1653	164946	34505
1654	165034	34402
1655	165112	34298
1656	165197	34195
1657	165350	34107
1658	165476	34012
1659	165721	33942
1660	165874	33853
1661	166018	33763
